id,id1,id1,address,source,description,name,date_added
OFAC,,," ",OFAC-NON-SDN," ",,"2019-03-01 23:12:28"
OFAC15268,OFAC22509,OFAC22761,"172 Xibin Rd, Ranghulu District, (Daqing, Heilongjiang Branch) Daqing 163453 China ",OFAC-NON-SDN," 561List SWIFT/BIC CKLBCNBJ; United States financial institutions are prohibited from opening or maintaining a correspondent account or a payable-through account for the foreign financial institution listed here, pursuant to 31 C.F.R. section 561.201(c).","BANK OF KUNLUN CO LTD","2019-03-01 23:12:28"
OFAC15268,OFAC22510,OFAC22761,"172 Xibin Rd, Ranghulu District, (Daqing, Heilongjiang Branch) Daqing 163453 China ",OFAC-NON-SDN," 561List SWIFT/BIC CKLBCNBJ; United States financial institutions are prohibited from opening or maintaining a correspondent account or a payable-through account for the foreign financial institution listed here, pursuant to 31 C.F.R. section 561.201(c).","BANK OF KUNLUN CO LTD","2019-03-01 23:12:28"
OFAC17013,OFAC26072,OFAC25798,"29, Bolshaya Morskaya str. St. Petersburg 190000 Russia ",OFAC-NON-SDN," UKRAINE-EO13662 SWIFT/BIC VTBRRUMM; Website www.vtb.com; Executive Order 13662 Directive Determination - Subject to Directive 1; Registration ID 1027739609391 (Russia); Tax ID No. 7702070139 (Russia); Government Gazette Number 00032520 (Russia); License 1000 (Russia); For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives.","VTB BANK OAO","2019-03-01 23:12:28"
OFAC17013,OFAC26073,OFAC25798,"29, Bolshaya Morskaya str. St. Petersburg 190000 Russia ",OFAC-NON-SDN," UKRAINE-EO13662 SWIFT/BIC VTBRRUMM; Website www.vtb.com; Executive Order 13662 Directive Determination - Subject to Directive 1; Registration ID 1027739609391 (Russia); Tax ID No. 7702070139 (Russia); Government Gazette Number 00032520 (Russia); License 1000 (Russia); For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives.","VTB BANK OAO","2019-03-01 23:12:28"
OFAC17013,OFAC26074,OFAC25798,"29, Bolshaya Morskaya str. St. Petersburg 190000 Russia ",OFAC-NON-SDN," UKRAINE-EO13662 SWIFT/BIC VTBRRUMM; Website www.vtb.com; Executive Order 13662 Directive Determination - Subject to Directive 1; Registration ID 1027739609391 (Russia); Tax ID No. 7702070139 (Russia); Government Gazette Number 00032520 (Russia); License 1000 (Russia); For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives.","VTB BANK OAO","2019-03-01 23:12:28"
OFAC17013,OFAC26075,OFAC25798,"29, Bolshaya Morskaya str. St. Petersburg 190000 Russia ",OFAC-NON-SDN," UKRAINE-EO13662 SWIFT/BIC VTBRRUMM; Website www.vtb.com; Executive Order 13662 Directive Determination - Subject to Directive 1; Registration ID 1027739609391 (Russia); Tax ID No. 7702070139 (Russia); Government Gazette Number 00032520 (Russia); License 1000 (Russia); For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives.","VTB BANK OAO","2019-03-01 23:12:28"
OFAC17013,OFAC26076,OFAC25798,"29, Bolshaya Morskaya str. St. Petersburg 190000 Russia ",OFAC-NON-SDN," UKRAINE-EO13662 SWIFT/BIC VTBRRUMM; Website www.vtb.com; Executive Order 13662 Directive Determination - Subject to Directive 1; Registration ID 1027739609391 (Russia); Tax ID No. 7702070139 (Russia); Government Gazette Number 00032520 (Russia); License 1000 (Russia); For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives.","VTB BANK OAO","2019-03-01 23:12:28"
OFAC17013,OFAC26077,OFAC25798,"29, Bolshaya Morskaya str. St. Petersburg 190000 Russia ",OFAC-NON-SDN," UKRAINE-EO13662 SWIFT/BIC VTBRRUMM; Website www.vtb.com; Executive Order 13662 Directive Determination - Subject to Directive 1; Registration ID 1027739609391 (Russia); Tax ID No. 7702070139 (Russia); Government Gazette Number 00032520 (Russia); License 1000 (Russia); For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives.","VTB BANK OAO","2019-03-01 23:12:28"
OFAC17013,OFAC26078,OFAC25798,"29, Bolshaya Morskaya str. St. Petersburg 190000 Russia ",OFAC-NON-SDN," UKRAINE-EO13662 SWIFT/BIC VTBRRUMM; Website www.vtb.com; Executive Order 13662 Directive Determination - Subject to Directive 1; Registration ID 1027739609391 (Russia); Tax ID No. 7702070139 (Russia); Government Gazette Number 00032520 (Russia); License 1000 (Russia); For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives.","VTB BANK OAO","2019-03-01 23:12:28"
OFAC17013,OFAC26079,OFAC25798,"29, Bolshaya Morskaya str. St. Petersburg 190000 Russia ",OFAC-NON-SDN," UKRAINE-EO13662 SWIFT/BIC VTBRRUMM; Website www.vtb.com; Executive Order 13662 Directive Determination - Subject to Directive 1; Registration ID 1027739609391 (Russia); Tax ID No. 7702070139 (Russia); Government Gazette Number 00032520 (Russia); License 1000 (Russia); For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives.","VTB BANK OAO","2019-03-01 23:12:28"
